new ID,Trabantetal ID,file name,date,time,magnitude,GPS lat,GPS lon,adit end lat,adit end lon,depth
87,64,770730-0157-EKA-sum.sac,1977-07-30,01:57:00,5.162,49.7506,78.0492,49.75,78.0399,0
91,88,780422-0307-EKA-sum.sac,1978-04-22,03:07:00,5.369,49.7517,78.1317,49.7469,78.1251,0
93,0,780728-0247-EKA-sum.sac,1978-07-28,02:47:00,5.766,49.755,78.145,0,0,0
95,83,781015-0537-EKA-sum.sac,1978-10-15,05:37:00,5.183,49.7367,78.1111,49.7395,78.1127,0
96,79,781031-0417-EKA-sum.sac,1978-10-31,04:17:00,5.281,49.7886,78.1075,49.7875,78.0974,0
99,117,790506-0317-EKA-sum.sac,1979-05-06,03:17:00,5.255,49.7619,77.9825,49.7643,77.9993,0
100,35,790531-0555-EKA-sum.sac,1979-05-31,05:55:00,5.297,49.8342,78.0803,49.8267,78.0757,0
102,30,791018-0417-EKA-sum.sac,1979-10-18,04:17:00,5.268,49.8242,78.0975,49.82,78.1003,0
105,70,800410-0407-EKA-sum.sac,1980-04-10,04:07:00,5.023,49.7825,78.0572,49.778,78.0547,0
106,63,800522-0357-EKA-sum.sac,1980-05-22,03:57:00,5.567,49.7797,78.0364,49.7739,78.0287,0
107,133,800731-0333-EKA-sum.sac,1980-07-31,03:33:00,5.369,49.7906,78.0908,49.7955,78.0907,0
111,71,810814-0227-EKA-sum.sac,1981-08-14,02:27:15,4.925,49.7522,78.0531,49.7587,78.0565,0
124,75,840415-0317-EKA-sum.sac,1984-04-15,03:17:11,5.732,49.7606,78.0892,49.7499,78.0825,0
135,58,881123-0357-EKA-sum.sac,1988-11-23,03:57:09,5.277,49.7794,78.0372,49.7726,78.0378,0
